Date; Amount ;Category;Subcategory;Description
29.08.2014;-35,00р. ;Проезд;Маршрутка;
29.08.2014;-40,00р. ;Проезд;Городской;
29.08.2014;-304,00р. ;Еда;Обед;
29.08.2014;-40,00р. ;Еда;Перекус;
29.08.2014;-90,00р. ;Проезд;Городской;
30.08.2014;-500,00р. ;Сотовый;Другой;
30.08.2014;-2 000,00р. ;Ребёнок;Вещи;
30.08.2014;-1 700,00р. ;Ребёнок;Вещи;
30.08.2014;-593,00р. ;Еда;Магазин;
31.08.2014;-312,00р. ;Еда;Магазин;
31.08.2014;-3 186,00р. ;Квартплата;Мама;
01.09.2014;-40,00р. ;Еда;Перекус;
