Date; Amount ;Category;Subcategory;Description
06.05.2014;-250,00р. ;Еда;Обед;
06.05.2014;-1 000,00р. ;Авто;Бензин;
07.05.2014;-40,00р. ;Еда;Перекус;
07.05.2014;-250,00р. ;Еда;Обед;
07.05.2014;-1 400,00р. ;Еда;Магазин;
08.05.2014;-20,00р. ;Лекарства;Аптека;
08.05.2014;-260,00р. ;Еда;Магазин;
08.05.2014;-300,00р. ;Сотовый;Другой;
10.05.2014;-75,00р. ;Еда;Магазин;
10.05.2014; -1285.5 ;Еда;Магазин;
10.05.2014;-500,00р. ;Квартплата;Другое;
11.05.2014;-38,00р. ;Еда;Магазин;
11.05.2014;-633,00р. ;Еда;Магазин;
11.05.2014;-107,00р. ;Еда;Магазин;
11.05.2014;-100,00р. ;Проезд;Городской;
12.05.2014;-200,00р. ;Сотовый;Мой;
12.05.2014;-331,00р. ;Еда;Обед;
12.05.2014;-146,00р. ;Еда;Перекус;
12.05.2014;-30,00р. ;Еда;Перекус;
12.05.2014;-1 000,00р. ;Авто;Бензин;
13.05.2014;-242,00р. ;Еда;Обед;
13.05.2014; -1314.00 ;Еда;Магазин;
13.05.2014;-556,00р. ;Лекарства;Аптека;
14.05.2014;-267,00р. ;Еда;Обед;
14.05.2014; 40 000,00р. ;Income;Зарплата;
15.05.2014;-340,00р. ;Еда;Обед;
15.05.2014;-50,00р. ;Еда;Перекус;
15.05.2014;-1 800,00р. ;Посиделки;Кафе;
15.05.2014;-80,00р. ;Проезд;Городской;
15.05.2014;-40,00р. ;Проезд;Городской;
15.05.2014;-100,00р. ;Проезд;Городской;
15.05.2014;-1 000,00р. ;Лекарства;Аптека;
15.05.2014;-368,00р. ;Еда;Магазин;
15.05.2014;-250,00р. ;Проезд;Городской;
15.05.2014;-150,00р. ;Еда;Магазин;
16.05.2014;-283,00р. ;Еда;Обед;
16.05.2014; -510.5 ;Еда;Магазин;
17.05.2014;-1 700,00р. ;Еда;Магазин;
17.05.2014;-250,00р. ;Авто;Парковка;парковка
17.05.2014; -717.00 ;Еда;Магазин;
18.05.2014;-2 300,00р. ;Посиделки;Кафе;
18.05.2014;-1 300,00р. ;Прочее;Прочее;ярмарка
18.05.2014;-150,00р. ;Прочее;Прочее;велорикша
18.05.2014;-1 000,00р. ;Авто;Бензин;
18.05.2014;-250,00р. ;Авто;Парковка;
19.05.2014;-1 195,00р. ;Еда;Магазин;
